# Format: job_id | company | position
# Jobs listed here (by job ID) will not appear in future summaries
# LinkedIn Jobs Exclusion List
4363125621 | Oracle | Software Development Director
4363239200 | DoorDash | Engineering Manager, Search Quality
4363995481 | Oracle | Snr Manager, Software Engineering, Cloud Performance
4364418708 | Mastercard | Vice President, Software Engineering
4364495591 | Mastercard | Vice President, Software Engineering
4365006239 | NVIDIA | Senior Manager, Software Engineering - Libraries Devops and Infrastructure
4365077604 | Coinbase | Director of Engineering, Custody
4365267928 | Microsoft | Principal Engineering Manager
4365598443 | Snowflake | Engineering Manager - Freepool
4365639524 | CVS Health | Director Web Engineering
4365641608 | Snowflake | Engineering Manager - Freepool
4365662657 | Microsoft | Principal Software Engineering Manager
4365913955 | Apple | Senior Engineering Manager, Product Engineering Systems
4366036352 | Apple | Software Engineering Manager, HomeKit
4366204324 | LinkedIn | Director, Software Engineering, Systems Infrastructure
4366244555 | Snap Inc. | Manager, Software Engineering
4366244557 | Snap Inc. | Manager, Software Engineering
4366561033 | Affirm | Senior Manager, Technical Programs
4366842941 | Microsoft | Principal Software Engineering Manager
4366881182 | Starbucks | engineering manager, Next Generation Ordering & Coffeehouse Platform
4366974065 | Airbnb | Engineering Manager, Ambassador Routing
4366985331 | Coinbase | Engineering Manager - Risk Platform
4367208554 | Apple | Senior Manager, Quality Engineering Xcode
4367606078 | GitHub | Principal Engineering Manager, Git Systems
4367918605 | Microsoft | Principal Software Engineering Manager - Developer Platform
4368056061 | Figma | Manager, Software Engineering - Design Systems Management
4368333496 | Coinbase | Senior Engineering Manager - Data Platform
4368433237 | Dropbox | Senior Engineering Manager, Core Mobile Experience
4368604485 | Ford Motor Company | Software Engineering Director
4368840670 | Coinbase | Software Engineering Manager - Cloud Provisioning
4369029689 | Cisco | Director, Engineering
4369074568 | Microsoft | Principal Group Engineering Manager
4369309314 | Anthropic | Engineering Manager, Inference Developer Productivity
4369311207 | Figma | Manager, Software Engineering - Internal Tools
4369317865 | Salesforce | Sr. Manager, Software Engineering
4370127027 | NVIDIA | Director, Software Engineering - NIM Factory
4370142945 | Microsoft | Principal Software Engineering Manager
4370848614 | Slack | Staff Frontend Product Engineer - Slack, Search Pillar
4370985645 | Microsoft | Principal Software Engineering Manager
4371025252 | CVS Health | Senior Engineering Manager
4371093314 | Nutanix | Director, Systems Engineering
4371220751 | Instacart | Director of Software Engineering, Order Experience
4371354647 | Apple | Senior Software QE Manager
4371356118 | Anthropic | Engineering Manager, Access Management
4371994874 | Oracle | Software Development Snr Manager
4372013190 | Expedia Group | Director, Software Development Engineering - Air Shopping Platform
4372030396 | Netflix | Engineering Manager, JVM Ecosystem
4372031388 | Apple | Software Engineering Manager - CI/CD
4372170840 | Snap Inc. | Director, Software Engineering
4372196006 | Microsoft | Principal Software Engineering Manager
4372214902 | Chewy | Director, Software Engineering
4372473579 | Oracle | Software Development Snr Manager
4372544430 | Apple | Software Development Engineering Manager, Device Management
4372591199 | Visa | Sr. Manager, Software Engineering
4372848739 | Meta | Software Engineering Manager
4372967835 | GitLab | VP of Engineering, Architecture and Transformation
4372996914 | Microsoft | Software Engineering Manager
4373031607 | Apple | Engineering Manager, Shield
4373286093 | Databricks | Sr. Manager, Engineering Performance
4373290801 | GitLab | VP of Engineering, Architecture and Transformation
4373603694 | GitHub | Staff Software Engineering Manager, Dependency Graph
4373623587 | Affirm | Director, Software Engineering (Site Reliability Engineering)
4373631896 | Accenture | AI Native Software Engineering Manager
